"","sqrt.X4mm","sqrt.X2mm","sqrt.X1mm","sqrt.X500um","fetch","org","snapper","lobster","Status","Distance"
"BDS",0.004732,0.000507,0.04563,0.168093545454545,0.109373727272727,0.000645272727272727,0,0,0.131575888888889,0.546
"BMS",0,0.0178546135167948,0.00642766086604614,0,0,0.160431818181818,0,0.209970254957507,0.130722222222222,0.543
"CPN",0.532,0.0763392857142857,0.227321428571429,0.278522727272727,0.268806818181818,0.0766477272727273,0.359642857142857,0.344375,0.149976851851852,0.144326923076923
