Ident,Site,Year,Month,Replicate,Survey,Acropora spp.,Alcyoniidae,Alveopora spp.,Astreopora spp.,Caulastrea spp.,Coscinarea spp.,Cyphastrea spp.,Dendronephthya spp.,Diploastrea spp.,Echinophyllia spp.,Echinopora spp.,Euphyllia spp.,Favia spp.,Faviidae,Favites spp.,Fungia spp.,Fungiidae,Galaxea spp.,Gardineroseris spp.,Goniastrea spp.,Goniopora spp.,Hard coral,Hydnophora spp.,Isopora spp.,Leptastrea spp.,Leptoria spp.,Leptoseris spp.,Lithophyllon spp.,Lobophyllia spp.,Lobophytum spp.,Merulina spp.,Millepora spp.,Montastrea spp.,Montipora spp.,Mycedium spp.,Octocorals - Soft,Oulophyllia spp.,Oxypora spp.,Pachyseris spp.,Pavona spp.,Pectinia spp.,Platygyra spp.,Plerogyra spp.,Plesiastrea spp.,Pocillopora spp.,Podabacia spp.,Porites spp.,Psammocora spp.,Sarcophyton spp.,Scolymia spp.,Seriatopora spp.,Sinularia spp.,Stylophora spp.,Symphyllia spp.,Tubipora spp.,Turbinaria spp.,allcoral,totalpoints,av.wave,max.wave,dredge days,dredge.pres,bleach.ind,bleach.pres,DHW,dhw.fact,Depth
14_2009_11_T2,14,2009,11,T2,1,15,0,2,0,0,0,6,0,0,1,1,0,3,0,7,0,0,0,0,10,0,0,2,0,0,0,0,0,2,0,4,0,0,12,0,7,0,0,0,2,0,2,0,0,2,0,22,0,0,0,7,0,0,0,0,1,108,300,0.670658433,0.876891217,0,0,0,0,0,0,10
14_2009_11_T3,14,2009,11,T3,1,2,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,22,0,0,0,4,0,0,0,0,0,43,294,0.670658433,0.876891217,0,0,0,0,0,0,10
15_2009_11_T1,15,2009,11,T1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0,0,0,1,78,300,0.670658433,0.876891217,0,0,0,0,0,0,9
15_2009_11_T2,15,2009,11,T2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,55,294,0.670658433,0.876891217,0,0,0,0,0,0,9
15_2009_11_T3,15,2009,11,T3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,45,0,0,0,0,0,0,0,0,2,68,312,0.670658433,0.876891217,0,0,0,0,0,0,9
16_2009_11_T1,16,2009,11,T1,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,3,0,0,1,0,0,0,1,0,53,0,0,0,0,0,0,0,0,1,94,294,0.24,0.36,0,0,0,0,0,0,8
16_2009_11_T2,16,2009,11,T2,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,33,0,0,0,3,0,0,0,0,1,61,318,0.24,0.36,0,0,0,0,0,0,8
16_2009_11_T3,16,2009,11,T3,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,4,0,2,0,0,3,0,2,0,0,0,1,0,69,0,0,0,0,0,0,0,0,0,140,300,0.24,0.36,0,0,0,0,0,0,8
16_2009_11_T4,16,2009,11,T4,1,5,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,60,300,0.24,0.36,0,0,0,0,0,0,8
17_2009_11_T1,17,2009,11,T1,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,65,0,0,0,0,0,0,0,0,0,87,306,0.608991638,0.817245322,0,0,0,0,0,0,8
17_2009_11_T2,17,2009,11,T2,1,7,0,0,0,0,0,2,0,0,0,0,0,1,0,12,0,0,2,0,4,0,0,0,0,1,0,0,0,3,0,2,0,0,2,0,0,0,1,1,0,6,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,75,288,0.608991638,0.817245322,0,0,0,0,0,0,8
17_2009_11_T3,17,2009,11,T3,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,6,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,1,0,0,3,0,9,0,0,0,0,0,0,0,0,0,44,306,0.608991638,0.817245322,0,0,0,0,0,0,8
18_2009_11_T1,18,2009,11,T1,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,300,0.238042585,0.36439659,0,0,0,0,0,0,2
18_2009_11_T2,18,2009,11,T2,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,306,0.238042585,0.36439659,0,0,0,0,0,0,2
18_2009_11_T3,18,2009,11,T3,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,294,0.238042585,0.36439659,0,0,0,0,0,0,2
18_2009_11_T4,18,2009,11,T4,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,300,0.238042585,0.36439659,0,0,0,0,0,0,2
19_2009_11_T1,19,2009,11,T1,1,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,186,300,0,0,0,0,0,0,0,0,2
19_2009_11_T2,19,2009,11,T2,1,175,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,185,300,0,0,0,0,0,0,0,0,2
19_2009_11_T3,19,2009,11,T3,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,143,300,0,0,0,0,0,0,0,0,2
19_2009_11_T4,19,2009,11,T4,1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,215,288,0,0,0,0,0,0,0,0,2
20_2009_11_T1,20,2009,11,T1,1,8,0,0,2,0,0,0,0,0,0,46,0,1,0,2,0,0,30,0,0,1,0,1,0,0,2,0,0,3,0,2,0,0,16,0,0,2,0,0,0,19,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,186,300,0.436155908,0.620349179,0,0,0,0,0,0,5.5
20_2009_11_T2,20,2009,11,T2,1,5,0,0,4,0,0,1,0,0,0,36,0,1,0,11,0,0,33,0,5,0,0,6,0,0,0,0,0,4,0,12,2,1,33,0,0,0,0,0,4,14,1,0,0,0,1,20,0,0,0,0,0,0,0,0,0,194,300,0.436155908,0.620349179,0,0,0,0,0,0,5.5
20_2009_11_T3,20,2009,11,T3,1,15,0,0,0,0,0,1,0,0,0,18,0,0,0,7,0,1,29,0,4,0,0,10,0,0,1,0,0,2,0,2,0,1,21,0,0,0,0,0,0,17,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,164,300,0.436155908,0.620349179,0,0,0,0,0,0,5.5
20_2009_11_T4,20,2009,11,T4,1,4,0,0,1,0,0,0,0,0,0,29,0,0,0,1,0,1,82,0,4,0,0,6,0,0,2,0,0,1,0,1,0,0,5,0,0,0,0,3,0,10,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,193,306,0.436155908,0.620349179,0,0,0,0,0,0,5.5
23_2009_11_T1,23,2009,11,T1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,114,312,0.470397438,0.646694664,0,0,0,0,0,0,3
23_2009_11_T2,23,2009,11,T2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,0,0,0,0,0,0,0,0,0,92,306,0.470397438,0.646694664,0,0,0,0,0,0,3
23_2009_11_T3,23,2009,11,T3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,63,0,0,0,0,0,0,0,0,2,82,306,0.470397438,0.646694664,0,0,0,0,0,0,3
23_2009_11_T4,23,2009,11,T4,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0,1,0,40,0,0,0,0,0,0,0,0,11,65,300,0.470397438,0.646694664,0,0,0,0,0,0,3
26_2009_11_T1,26,2009,11,T1,1,0,0,0,0,0,0,2,0,0,0,106,0,1,0,6,0,2,0,0,3,0,0,29,0,0,0,0,0,2,0,13,1,3,4,0,0,0,4,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,186,300,0.516779507,0.69739357,0,0,0,0,0,0,3
26_2009_11_T2,26,2009,11,T2,1,0,0,0,0,0,0,1,0,0,0,75,0,1,0,1,0,0,3,0,0,0,0,55,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,161,294,0.516779507,0.69739357,0,0,0,0,0,0,3
26_2009_11_T3,26,2009,11,T3,1,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,3,0,1,8,0,0,0,0,0,2,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,195,300,0.516779507,0.69739357,0,0,0,0,0,0,3
27_2009_11_T1,27,2009,11,T1,1,2,0,0,0,1,0,2,0,0,0,1,0,3,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,4,3,6,1,0,0,0,2,0,5,3,1,0,0,0,0,11,0,0,0,15,0,0,0,0,0,85,306,0.246220622,0.375663543,0,0,0,0,0,0,5.8
27_2009_11_T2,27,2009,11,T2,1,36,0,0,0,0,0,2,0,0,0,0,0,9,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,3,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,93,306,0.246220622,0.375663543,0,0,0,0,0,0,5.8
27_2009_11_T3,27,2009,11,T3,1,17,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,65,306,0.246220622,0.375663543,0,0,0,0,0,0,5.8
27_2009_11_T4,27,2009,11,T4,1,27,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,2,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,64,306,0.246220622,0.375663543,0,0,0,0,0,0,5.8
29_2009_11_T1,29,2009,11,T1,1,10,0,0,1,0,0,0,0,0,2,55,0,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,0,1,0,59,2,0,9,0,0,0,2,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,192,306,0.146220622,0.275663543,0,0,0,0,0,0,3
29_2009_11_T2,29,2009,11,T2,1,6,0,3,0,0,0,0,0,0,0,86,0,0,0,0,0,5,27,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,13,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196,300,0.146220622,0.275663543,0,0,0,0,0,0,3
29_2009_11_T3,29,2009,11,T3,1,12,0,0,0,0,0,0,0,0,0,58,0,0,0,2,1,0,34,0,1,0,0,2,0,0,0,0,0,0,0,15,1,0,0,0,0,0,4,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,146,300,0.146220622,0.275663543,0,0,0,0,0,0,3
29_2009_11_T4,29,2009,11,T4,1,21,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,2,6,0,3,0,0,2,0,0,0,0,0,0,0,10,0,0,2,0,2,0,13,0,0,6,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,98,300,0.146220622,0.275663543,0,0,0,0,0,0,3
8_2010_4_T1,8,2010,4,T1,2,20,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,1,0,0,1,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,99,300,0,0,0,0,0,0,0,0,4
8_2010_4_T2,8,2010,4,T2,2,70,0,0,0,0,0,4,0,0,0,10,0,0,0,1,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,130,306,0,0,0,0,0,0,0,0,4
8_2010_4_T3,8,2010,4,T3,2,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,2,74,306,0,0,0,0,0,0,0,0,4
8_2010_4_T4,8,2010,4,T4,2,24,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,0,113,0,0,0,0,0,0,0,0,0,153,306,0,0,0,0,0,0,0,0,4
11_2010_4_T1,11,2010,4,T1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,5,0,0,0,0,0,0,2,153,306,0.730429387,0.877547051,0,0,0,0,2.29,1,9
11_2010_4_T2,11,2010,4,T2,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,3,0,1,4,0,0,0,0,166,312,0.730429387,0.877547051,0,0,0,0,2.29,1,9
