"","X","sediment","Location","Status","Site","Distance","depth","X4mm","X2mm","X1mm","X500um","X250um","X125um","X63um","fetch","org","snapper","lobster","InPreds","BioTurb","Taxa","Abundance"
"54",55,-0.619585462360303,"Leigh","No-take","North Te Rere",15,11,0.13323,0.42549,3.23406,16.07044,40.6862,36.53973,2.85588,2360452.152,1.29972,6,6.5,1,0,"BDS",0
"55",56,-2.77402835693954,"Leigh","No-take","North Te Rere",30,11,0.05078,0.41631,4.72783,29.49734,43.99494,19.31496,1.90023,2360452.152,0.93746,6,6.5,2,0,"BDS",0
"56",57,0.355390254044881,"Leigh","No-take","Waterfall Reef Inner",2,9,0.03553,0.14945,1.69934,8.43427,45.50632,41.89384,2.24519,2508895.523,3.45785,16.5,2.2,0.333333333,0,"BDS",0
"57",58,0.568538691214557,"Leigh","No-take","Waterfall Reef Inner",5,10,0.12963,0.31,2.02569,8.88818,40.12067,45.20053,3.28078,2508895.523,3.19104,16.5,2.2,1,0,"BDS",0
"58",59,-1.48627311528894,"Leigh","No-take","Waterfall Reef Inner",15,9,0.22897,0.89488,5.77361,18.70931,43.13467,29.3059,1.9192,2508895.523,2.80046,16.5,2.2,0,0,"BDS",0
"59",60,-0.807393905757062,"Leigh","No-take","Waterfall Reef Inner",30,10,0.2148,0.63722,4.10023,15.38552,42.20047,34.36158,3.05975,2508895.523,2.78881,16.5,2.2,0.833333333,0,"BDS",0
"60",61,-3.84367434699655,"Leigh","No-take","Waterfall Reef Outer",2,11,0.58359,2.68652,16.51745,33.93586,32.69129,12.99919,0.53339,3011093.187,2.4751,18,6.4,0,0.166666667,"BDS",0
"61",62,-3.90920623658696,"Leigh","No-take","Waterfall Reef Outer",5,11,0.52679,1.92446,13.51472,33.49262,37.6966,12.24732,0.57682,3011093.187,2.62516,18,6.4,0,0.166666667,"BDS",0
"62",63,-0.55533227568735,"Leigh","No-take","Waterfall Reef Outer",15,11,0.05234,0.46582,2.78059,12.73163,46.03989,34.8855,2.83876,3011093.187,1.46117,18,6.4,1,0,"BDS",0
"63",64,-1.50796707046511,"Leigh","No-take","Waterfall Reef Outer",30,11,0.36938,1.12547,6.40814,18.58155,41.45276,28.91518,2.72931,3011093.187,2.43254,18,6.4,0.666666667,0,"BDS",0
"64",65,-2.5847942552301,"Tawharanui","Fished","Fairchilds Reef Inner",2,9,0.05201,0.22015,2.55153,12.67586,67.95722,13.10877,3.37822,1533714.168,1.2051,0,0,0.166666667,0.166666667,"BDS",5
"65",66,-1.43582029568098,"Tawharanui","Fished","Fairchilds Reef Inner",5,11,0.18094,0.42987,2.8099,12.3398,55.46995,24.155,4.55345,1533714.168,1.23181,0,0,0.666666667,0,"BDS",3
"66",67,-2.97934304949557,"Tawharanui","Fished","Fairchilds Reef Inner",15,11,0.27946,1.06845,6.86791,22.15775,51.51732,15.75039,2.32076,1533714.168,1.08227,0,0,0.833333333,0,"BDS",1
"67",68,-2.70088138350947,"Tawharanui","Fished","Fairchilds Reef Inner",30,10,0.28121,0.79511,5.16448,19.48284,53.83944,16.43393,3.95071,1533714.168,1.25514,0,0,1.666666667,0.666666667,"BDS",6
"68",69,-3.84367434699655,"Tawharanui","Fished","Fairchilds Reef Outer ",2,9,0.58359,2.68652,16.51745,33.93586,32.69129,12.99919,0.53339,1605362.745,1.44733,0.5,0,0.666666667,0.166666667,"BDS",4
"69",70,-3.90920623658696,"Tawharanui","Fished","Fairchilds Reef Outer ",5,9,0.52679,1.92446,13.51472,33.49262,37.6966,12.24732,0.57682,1605362.745,1.76953,0.5,0,1.166666667,0,"BDS",0
"70",71,-3.48529768339847,"Tawharanui","Fished","Fairchilds Reef Outer ",15,9,0.07846,0.67026,3.9659,17.63501,64.43407,8.70986,4.17644,1605362.745,1.47504,0.5,0,0.333333333,0,"BDS",1
"71",72,-4.65224862167955,"Tawharanui","Fished","Fairchilds Reef Outer ",30,9,0.50249,1.50349,8.58356,24.98219,55.7242,4.40805,3.7108,1605362.745,1.52358,0.5,0,1,0,"BDS",4
"72",73,5.08128947354295,"Tawharanui","Fished","Omaha P Point",2,10,0.03667,0.08838,0.09621,0.21445,11.10529,86.23807,2.22093,1507785.068,1.2051,0,0.2,2.333333333,0,"BDS",2
"73",74,5.19767578539045,"Tawharanui","Fished","Omaha P Point",5,10,0.03406,0.17169,0.17102,0.26617,8.74041,87.93246,2.67043,1507785.068,1.23181,0,0.2,1.5,0,"BDS",3
"74",75,4.07832818371075,"Tawharanui","Fished","Omaha P Point",15,12,0.19966,0.23035,0.21109,0.69201,19.50415,76.23381,2.92894,1507785.068,1.08227,0,0.2,0.666666667,0.833333333,"BDS",15
"75",76,4.52768610858022,"Tawharanui","Fished","Omaha P Point",30,12,0.25133,0.24386,0.18812,0.27687,16.19131,79.88318,2.94479,1507785.068,1.25514,0,0.2,0,1.333333333,"BDS",11
"76",77,1.895429556155,"Tawharanui","Fished","P Point",2,10,0.2021,0.27843,0.55002,1.20313,46.24932,49.28501,2.21166,1765896.24,1.44733,0.25,0,2.5,0.333333333,"BDS",0
"77",78,2.10786665931251,"Tawharanui","Fished","P Point",5,11,0.05175,0.13214,0.3174,1.06947,45.45778,51.17633,1.76478,1765896.24,1.76953,0.25,0,2.333333333,0.166666667,"BDS",2
"78",79,2.67542076183547,"Tawharanui","Fished","P Point",15,11,0.31045,0.24707,0.38791,0.51053,39.49584,56.87626,2.14601,1765896.24,1.47504,0.25,0,1,2.333333333,"BDS",7
"79",80,3.5618067862818,"Tawharanui","Fished","P Point",30,10,0.34917,0.32516,0.34537,0.45115,27.21525,68.64224,2.62259,1765896.24,1.52358,0.25,0,0.666666667,3.333333333,"BDS",10
"80",81,0.144043883766072,"Tawharanui","No-take","Anchor Bay Inner",2,9,0.0172,0.16441,1.60389,13.46422,38.48872,42.82638,3.37621,1578079.695,1.47032,11.5,2.3,0.833333333,0.166666667,"BDS",1
"81",82,2.60866104398857,"Tawharanui","No-take","Anchor Bay Inner",5,9,0.09914,0.22669,0.66584,1.7289,32.5699,59.95517,4.70474,1578079.695,1.57182,11.5,2.3,1.5,0,"BDS",0
"82",83,0.28958452201254,"Tawharanui","No-take","Anchor Bay Inner",15,9,0.21641,0.25552,2.4296,12.2583,35.94351,44.23642,4.59424,1578079.695,1.45182,11.5,2.3,0.833333333,0.166666667,"BDS",0
"83",84,3.00728780921828,"Tawharanui","No-take","Anchor Bay Inner",30,11,0.89275,0.38038,0.72234,1.9072,24.56114,65.2652,6.21025,1578079.695,1.60961,11.5,2.3,1.5,0.833333333,"BDS",7
"84",85,0.144043883766072,"Tawharanui","No-take","Anchor Bay Outer",2,9,0.0172,0.16441,1.60389,13.46422,38.48872,42.82638,3.37621,1673795.392,2.25229,14.75,2.7,2.333333333,0,"BDS",0
"85",86,0.0702526769607567,"Tawharanui","No-take","Anchor Bay Outer",5,11,0.11489,0.29905,2.44809,14.91019,35.14357,43.63288,3.39309,1673795.392,2.1347,14.75,2.7,1,0.333333333,"BDS",1
"86",87,-1.12264470649672,"Tawharanui","No-take","Anchor Bay Outer",15,11,0.75194,0.75227,3.56621,15.54908,45.62314,30.44547,3.26138,1673795.392,1.77443,14.75,2.7,1,0,"BDS",2
"87",88,-1.54913423238378,"Tawharanui","No-take","Anchor Bay Outer",30,11,0.03504,0.30468,2.44575,17.12,51.71877,25.89944,2.44507,1673795.392,1.68326,14.75,2.7,1.5,0.166666667,"BDS",2
