"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","sqrt.X4mm","sqrt.X2mm","sqrt.X1mm","sqrt.X500um","fetch","org","snapper","lobster","Status","Distance","cumsum.wi"
"NA.fetch+Status+Distance.t.Status","fetch+Status+Distance.t.Status",347.193349866642,391.275285563359,0.45834,NA,21.17,0,2.578,3.945,0.045,0.031,0,0,0,0,1,0,0,0,1,1,0.751
"NA","Status+Distance+org.by.Status",312.607228213057,357.982246907728,0.52627,NA,22.45,0,0,0,0.937,0.661,0,0,0,0,0,1,0,0,1,1,0.937
"NA.sqrt.X4mm+Distance1","sqrt.X4mm+Distance",477.211361111149,521.093352614688,0.49295,NA,20.9,0,0,1.603,0.061,0.031,1,0,0,0,0,0,0,0,0,1,0.061
"NA.sqrt.X4mm+fetch+Distance1","sqrt.X4mm+fetch+Distance",477.40026937098,521.391999648418,0.48872,NA,21.06,0,0.189,1.902,0.056,0.027,1,0,0,0,1,0,0,0,0,1,0.117
"NA.sqrt.X1mm+lobster+Distance1","sqrt.X1mm+lobster+Distance",477.515528727141,519.489945455275,0.44359,NA,19.05,0,0.304,0,0.053,0.069,0,0,1,0,0,0,0,1,0,1,0.17
"NA.sqrt.X1mm+Distance1","sqrt.X1mm+Distance",477.877695247619,519.889490244463,0.45414,NA,19.11,0,0.666,0.4,0.044,0.056,0,0,1,0,0,0,0,0,0,1,0.214
"NA.sqrt.X1mm+snapper+Distance1","sqrt.X1mm+snapper+Distance",478.147611241407,520.250863032048,0.44695,NA,19.14,0,0.936,0.761,0.038,0.047,0,0,1,0,0,0,1,0,0,1,0.252
"NA.sqrt.X1mm+Status+Distance1","sqrt.X1mm+Status+Distance",478.21208595992,520.414163799793,0.45348,NA,19.28,0,1.001,0.924,0.037,0.043,0,0,1,0,0,0,0,0,1,1,0.289
"NA.sqrt.X4mm+lobster1","sqrt.X4mm+lobster",479.079400932741,521.580519673982,0.46683,NA,19.54,0,1.868,2.091,0.024,0.024,1,0,0,0,0,0,0,1,0,0,0.313
"NA.sqrt.X4mm+sqrt.X500um+lobster1","sqrt.X4mm+sqrt.X500um+lobster",479.090826711357,521.925136714939,0.4619,NA,19.84,0,1.879,2.435,0.024,0.02,1,0,0,1,0,0,0,1,0,0,0.337
"NA.sqrt.X4mm+sqrt.X500um1","sqrt.X4mm+sqrt.X500um",479.302765563719,522.156893109892,0.47359,NA,19.9,0,2.091,2.667,0.022,0.018,1,0,0,1,0,0,0,0,0,0,0.359
"NA.sqrt.X4mm+sqrt.X500um+snapper1","sqrt.X4mm+sqrt.X500um+snapper",479.352501207602,522.235248787769,0.46417,NA,19.87,0,2.141,2.745,0.021,0.017,1,0,0,1,0,0,1,0,0,0,0.38
"NA.sqrt.X4mm+snapper1","sqrt.X4mm+snapper",479.362901330117,521.935946256357,0.47143,NA,19.62,0,2.152,2.446,0.021,0.02,1,0,0,0,0,0,1,0,0,0,0.401
"NA.sqrt.X4mm1","sqrt.X4mm",479.37301432298,521.939049096695,0.48102,NA,19.66,0,2.162,2.449,0.021,0.02,1,0,0,0,0,0,0,0,0,0,0.422
"NA.sqrt.X500um+Distance1","sqrt.X500um+Distance",479.465024386517,521.729452923577,0.4755,NA,19.31,0,2.254,2.24,0.02,0.023,0,0,0,1,0,0,0,0,0,1,0.442
"NA.Status+Distance+sqrt.X1mm.by.Status1","Status+Distance+sqrt.X1mm.by.Status",479.472598620822,522.616963093334,0.4592,NA,20.19,0,2.261,3.127,0.02,0.014,0,0,1,0,0,0,0,0,1,1,0.462
"NA.sqrt.X500um+snapper+Distance2","sqrt.X500um+snapper+Distance",479.636303796396,521.946173965538,0.46642,NA,19.29,0,2.425,2.456,0.018,0.02,0,0,0,1,0,0,1,0,0,1,0.48
"NA.sqrt.X4mm+sqrt.X500um+Status1","sqrt.X4mm+sqrt.X500um+Status",479.642217597407,522.676767371616,0.47183,NA,20.07,0,2.431,3.187,0.018,0.014,1,0,0,1,0,0,0,0,1,0,0.498
"NA.sqrt.X4mm+fetch+lobster1","sqrt.X4mm+fetch+lobster",479.672960029634,522.362372822011,0.45759,NA,19.68,0,2.462,2.872,0.018,0.016,1,0,0,0,1,0,0,1,0,0,0.516
"NA.sqrt.X4mm+Status1","sqrt.X4mm+Status",479.709795359168,522.451899096407,0.47796,NA,19.82,0,2.498,2.962,0.018,0.016,1,0,0,0,0,0,0,0,1,0,0.534
"NA.sqrt.X2mm+lobster+Distance1","sqrt.X2mm+lobster+Distance",479.787801405757,522.247872517036,0.45333,NA,19.53,0,2.576,2.758,0.017,0.017,0,1,0,0,0,0,0,1,0,1,0.551
"NA.sqrt.X4mm+fetch1","sqrt.X4mm+fetch",479.800250113978,522.568934146593,0.47558,NA,19.81,0,2.589,3.079,0.017,0.015,1,0,0,0,1,0,0,0,0,0,0.568
"NA.sqrt.X500um+Status+Distance2","sqrt.X500um+Status+Distance",479.923091821053,522.415419936469,0.474,NA,19.51,0,2.712,2.925,0.016,0.016,0,0,0,1,0,0,0,0,1,1,0.584
"NA.Distance1","Distance",479.97597674282,522.155984987439,0.48292,NA,19.27,0,2.765,2.666,0.015,0.018,0,0,0,0,0,0,0,0,0,1,0.599
"NA.sqrt.X4mm+fetch+snapper1","sqrt.X4mm+fetch+snapper",479.990755372925,522.840505965131,0.46456,NA,19.84,0,2.779,3.351,0.015,0.013,1,0,0,0,1,0,1,0,0,0,0.614
"NA.snapper+Distance1","snapper+Distance",480.105762810659,522.318054806322,0.47393,NA,19.23,0,2.894,2.828,0.014,0.017,0,0,0,0,0,0,1,0,0,1,0.628
"NA.fetch+lobster+Distance2","fetch+lobster+Distance",480.175879532209,522.470570697533,0.4583,NA,19.26,0,2.965,2.981,0.014,0.016,0,0,0,0,1,0,0,1,0,1,0.642
"NA.sqrt.X4mm+fetch+Status1","sqrt.X4mm+fetch+Status",480.187262319785,523.108439277508,0.4709,NA,19.93,0,2.976,3.618,0.014,0.011,1,0,0,0,1,0,0,0,1,0,0.656
